path,f1_mean,f1_std,mmd_rbf_mean,mmd_rbf_std,precision_mean,precision_std,recall_mean,recall_std,Statistics.Report
reachactleakydatasetgridlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,0.504077684171766,0.284299376391837,0.530756556987762,0.206249352936118,0.625,0.231570723538188,0.545,0.315792653492762,THE maximum_connected_componnent:  degree: 0.044623180635977144 clustering: 0.0 orbits: 0.01578906755067444 Spec: 0.040636509944316446 diameter: 0.3142888968438017
reachactleakydatasetIMDBBINARYlr00003beta20e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,0.854040095943381,0.0332961393074729,0.0586848497390747,0.0399291739131082,0.883,0.0553714727996285,0.829,0.0351994318135961,THE maximum_connected_componnent:  degree: 0.0482249581616514 clustering: 0.29194460375860637 orbits: 0.02087201778242434 Spec: 0.0541330327951044 diameter: 0.059654023923532584
reachactleakydatasetlobsterlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,0.974368980933529,1.11022302462516E-16,0.356739680469036,0.106728174534478,0.95,0.0111022302462516,1,0,THE maximum_connected_componnent:  degree: 0.014587403898196794 clustering: 0.0050000000000001155 orbits: 0.08483135876254111 Spec: 0.05189748543611139 diameter: 0.3353572154010773
reachactleakydatasetMUTAGlr00001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,0.827823965263411,0.129006959839542,0.0517599821090698,0.0688935898474603,0.726315789473684,0.182776372149319,1,0,THE maximum_connected_componnent:  degree: 0.001476074448767184 clustering: 0.004155124644615871 orbits: 0.0028382143641043633 Spec: 0.03683505892772132 diameter: 0.07207271995490694
reachactleakydatasetogbgmolbbbplr00001beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,0.899657693027205,0.0478419237789301,0.0522368788719177,0.0164522464434505,0.944729344729345,0.0332052473717002,0.859898477157361,0.0651726044495596,THE maximum_connected_componnent:  degree: 0.004409646967405312 clustering: 0.000300491229759281 orbits: 0.009251032015344274 Spec: 0.015777314422258604 diameter: 0.036918485772371556
reachactleakydatasetPTClr00003beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,0.947933414432791,0.0178994615729169,0.00257343053817749,0.0000521618564779029,0.915942028985507,0.0273448728465409,0.982608695652174,0.0126344896914222,THE maximum_connected_componnent:  degree: 0.03781916694066889 clustering: 0.0085502583127679 orbits: 0.005794155135485424 Spec: 0.03228858645873456 diameter: 0.26546891446092724
reachactleakydatasettriangulargridlr00003beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,0.758698555377898,0.221805954104432,0.337455721199512,0.0787450010383513,0.705,0.265,0.89,0.164012194668567,THE maximum_connected_componnent:  degree: 0.07551938447897899 clustering: 1.1750260634091407 orbits: 0.23954389976455803 Spec: 0.03617800196351273 diameter: 0.4997343008686502
reachactleakydatasetDDlr00003beta20e10000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,0.8372521569081929,0.07051393986258118,0.0005314826965332031,9.536743164062499e-08,0.8407608695652176,0.06580576979546923,0.8375,0.09301102898198328,THE maximum_connected_componnent:  degree: 0.0026967207939441185 clustering: 0.172269399864931 orbits: 0.11238759047187052 Spec: 0.008954015658688919 diameter: 0.012550011638249092
