dataset Name (DN),GNN,Cleaned DN,Test_auc,Test_acc,Test_ap,conf_mtrx,train_auc,train_acc,train_ap
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetgridlr00003beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,grid__SGC,0.6296524897233227,0.5043640897755611,0.6268085492923151,"[[ 11 791]
 [  4 798]]",0.8007481319303176,0.5097867878364208,0.7735796060339437
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetgridlr00003beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,grid__SGC,0.6357881791779901,0.5124688279301746,0.6269379656702307,"[[ 41 761]
 [ 21 781]]",0.8019767948013279,0.5279622509612024,0.7761367825436413
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetgridlr00003beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,grid__SGC,0.6330969645711159,0.5081047381546134,0.615032375901163,"[[ 35 767]
 [ 22 780]]",0.7853943052447179,0.5256903180706047,0.7668563620193395
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetgridlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,grid__SGC,0.6872603128248415,0.5329489291598023,0.6714964977410848,"[[ 101 1113]
 [  21 1193]]",0.8419247005953534,0.5391152502910361,0.8256808346765825
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetgridlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,grid__SGC,0.7053737423632579,0.5308896210873146,0.6875807197582565,"[[  96 1118]
 [  21 1193]]",0.8485013708172455,0.5457508731082654,0.8316993259737451
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetgridlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,grid__SGC,0.7067409600785999,0.5383031301482701,0.6923930828332949,"[[ 114 1100]
 [  21 1193]]",0.8584032113579289,0.5448195576251456,0.841807394046149
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetgridlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,grid__SGC,0.7283535170403503,0.5317133443163097,0.7153505389403755,"[[ 100 1114]
 [  23 1191]]",0.8624205258029413,0.5410942956926659,0.843411514215437
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetgridlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,grid__SGC,0.7024045390271109,0.53500823723229,0.6913686957782779,"[[ 107 1107]
 [  22 1192]]",0.8342996770481962,0.5477299185098953,0.8172845857963196
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetgridlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,grid__SGC,0.7109420163984703,0.521828665568369,0.7067311813808141,"[[  73 1141]
 [  20 1194]]",0.847314106204117,0.5335273573923166,0.8337410414502393
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetgridlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,grid__SGC,0.7025422785785822,0.5242998352553542,0.6888079323391216,"[[  71 1143]
 [  12 1202]]",0.8349312694052293,0.5227008149010477,0.8174092574311002
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetgridlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,grid__SGC,0.6836658533474103,0.5152388797364086,0.6704806089828796,"[[  43 1171]
 [   6 1208]]",0.819259257251508,0.5186263096623981,0.7972118703231512
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetgridlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,grid__SGC,0.6613659556682201,0.5168863261943987,0.6570357591333408,"[[  47 1167]
 [   6 1208]]",0.7770557312086908,0.5160651920838184,0.7608533987646132
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetgridlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,grid__SGC,0.7047905544593688,0.5354200988467874,0.695706969121747,"[[ 108 1106]
 [  22 1192]]",0.8316271864975519,0.5487776484284052,0.8175656813269084
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00001beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,IMDBBINARY__SGC,0.6883917695473252,0.5488888888888889,0.7031075754048128,"[[101 574]
 [ 35 640]]",0.8107970857384819,0.5707679935665461,0.8104884079709633
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00001beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,IMDBBINARY__SGC,0.7000636488340192,0.5414814814814815,0.6984519882034239,"[[ 95 580]
 [ 39 636]]",0.7819509054643454,0.5637314032971451,0.7725078492184618
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00001beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,IMDBBINARY__SGC,0.7034677640603566,0.5407407407407407,0.7066518307039142,"[[ 80 595]
 [ 25 650]]",0.8075127777430172,0.5416164053075995,0.8139211645057702
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00001beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,IMDBBINARY__SGC,0.671351440329218,0.5007407407407407,0.6911734831350924,"[[ 26 649]
 [ 25 650]]",0.7948583943300498,0.5255327704061118,0.7995947064073443
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00001beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,IMDBBINARY__SGC,0.6923434842249656,0.5288888888888889,0.7021038855803393,"[[ 71 604]
 [ 32 643]]",0.782092372900401,0.547848813831926,0.7897933128743228
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00001beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,IMDBBINARY__SGC,0.666487791495199,0.5266666666666666,0.6752201885623609,"[[101 574]
 [ 65 610]]",0.7677506467486983,0.5701648572577402,0.7662385026627676
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00001beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,IMDBBINARY__SGC,0.6145064471879287,0.52,0.6570283536742499,"[[160 515]
 [133 542]]",0.7033933106759087,0.5570969039002814,0.7386894987214894
,,,,,,,,,
